Project Name,Package Name,Class Name,Class Type,Class Visibility,Is Abstract,Is Static,Is Final,Is Interface,Extends,Implements,Children,Fields,Methods,Overrides,Static Methods,final Methods , Abstract Methods, Association, Aggregation, Delegation, Composition, Instantiation
MapperXML,com.taursys.html.test,HTMLComponentFactoryTest,1,1,0,0,0,false,TestCase ,0 ,TestFactory TestContainer ,container: TestContainer factory: TestFactory personHolder: VOValueHolder invoiceHolder: VOCollectionValueHolder unnamedHolder: VOValueHolder holders: ValueHolder ,setUp{ Params :  Returns : void} setupTestPage1{ Params :  Returns : void} tearDown{ Params :  Returns : void} testGetSuggestedComponentsForSpan{ Params :  Returns : void} testGetSuggestedComponentsForTemplate{ Params :  Returns : void} testGetSuggestedComponentsForTD{ Params :  Returns : void} testGetSuggestedComponentsForInputText{ Params :  Returns : void} testGetSuggestedComponentsForSubmitButton{ Params :  Returns : void} testCreateComponentForSpan{ Params :  Returns : void} testCreateComponentForSpan2{ Params :  Returns : void} testCreateComponentForTemplate{ Params :  Returns : void} testCreateComponentForBad1{ Params :  Returns : void} testCreateComponentForBad2{ Params :  Returns : void} testCreateComponentForInputText{ Params :  Returns : void} testCreateComponentForInputCheckbox{ Params :  Returns : void} testCreateComponentsWithoutExisting{ Params :  Returns : void} testCreateComponentsWithExistingTopContainer{ Params :  Returns : void} testCreateComponentsWithExistingSubContainer{ Params :  Returns : void} testCreateComponentWithDateFormat{ Params :  Returns : void} testCreateComponentWithNumberFormat{ Params :  Returns : void} testCreateComponentWithMessageFormat{ Params :  Returns : void} testCreateComponentWithMessageFormatInValueAttribute{ Params :  Returns : void} testCreateComponentWithoutFormat{ Params :  Returns : void} testCreateComponentWithMessageFormatInHrefAttribute{ Params :  Returns : void} createComponentForElement{ Params : String,Element,ValueHolder[] Returns : Component} getDocumentAdapter{ Params :  Returns : DocumentAdapter} setDocument{ Params : org.w3c.dom.Document Returns : void} removeNotify{ Params :  Returns : void} addNotify{ Params :  Returns : void} getDocument{ Params :  Returns : org.w3c.dom.Document} main{ Params : String[] Returns : void} ,,main ,,,,ValueHolder[] ,,ValueHolder[] ,TestContainer VOValueHolder VOCollectionValueHolder VOValueHolder TestFactory DOMParser InputSource Button Button TextField DOM_1_20000929_DocumentAdapter 
MapperXML,com.taursys.html.test,TestFactory,3,0,0,0,0,false,TestCase ,0 ,TestFactory TestContainer ,,setUp{ Params :  Returns : void} setupTestPage1{ Params :  Returns : void} tearDown{ Params :  Returns : void} testGetSuggestedComponentsForSpan{ Params :  Returns : void} testGetSuggestedComponentsForTemplate{ Params :  Returns : void} testGetSuggestedComponentsForTD{ Params :  Returns : void} testGetSuggestedComponentsForInputText{ Params :  Returns : void} testGetSuggestedComponentsForSubmitButton{ Params :  Returns : void} testCreateComponentForSpan{ Params :  Returns : void} testCreateComponentForSpan2{ Params :  Returns : void} testCreateComponentForTemplate{ Params :  Returns : void} testCreateComponentForBad1{ Params :  Returns : void} testCreateComponentForBad2{ Params :  Returns : void} testCreateComponentForInputText{ Params :  Returns : void} testCreateComponentForInputCheckbox{ Params :  Returns : void} testCreateComponentsWithoutExisting{ Params :  Returns : void} testCreateComponentsWithExistingTopContainer{ Params :  Returns : void} testCreateComponentsWithExistingSubContainer{ Params :  Returns : void} testCreateComponentWithDateFormat{ Params :  Returns : void} testCreateComponentWithNumberFormat{ Params :  Returns : void} testCreateComponentWithMessageFormat{ Params :  Returns : void} testCreateComponentWithMessageFormatInValueAttribute{ Params :  Returns : void} testCreateComponentWithoutFormat{ Params :  Returns : void} testCreateComponentWithMessageFormatInHrefAttribute{ Params :  Returns : void} createComponentForElement{ Params : String,Element,ValueHolder[] Returns : Component} getDocumentAdapter{ Params :  Returns : DocumentAdapter} setDocument{ Params : org.w3c.dom.Document Returns : void} removeNotify{ Params :  Returns : void} addNotify{ Params :  Returns : void} getDocument{ Params :  Returns : org.w3c.dom.Document} main{ Params : String[] Returns : void} ,,main ,,,,,,,
MapperXML,com.taursys.html.test,TestContainer,3,0,0,0,0,false,TestCase ,0 ,TestFactory TestContainer ,documentAdapter: DocumentAdapter ,setUp{ Params :  Returns : void} setupTestPage1{ Params :  Returns : void} tearDown{ Params :  Returns : void} testGetSuggestedComponentsForSpan{ Params :  Returns : void} testGetSuggestedComponentsForTemplate{ Params :  Returns : void} testGetSuggestedComponentsForTD{ Params :  Returns : void} testGetSuggestedComponentsForInputText{ Params :  Returns : void} testGetSuggestedComponentsForSubmitButton{ Params :  Returns : void} testCreateComponentForSpan{ Params :  Returns : void} testCreateComponentForSpan2{ Params :  Returns : void} testCreateComponentForTemplate{ Params :  Returns : void} testCreateComponentForBad1{ Params :  Returns : void} testCreateComponentForBad2{ Params :  Returns : void} testCreateComponentForInputText{ Params :  Returns : void} testCreateComponentForInputCheckbox{ Params :  Returns : void} testCreateComponentsWithoutExisting{ Params :  Returns : void} testCreateComponentsWithExistingTopContainer{ Params :  Returns : void} testCreateComponentsWithExistingSubContainer{ Params :  Returns : void} testCreateComponentWithDateFormat{ Params :  Returns : void} testCreateComponentWithNumberFormat{ Params :  Returns : void} testCreateComponentWithMessageFormat{ Params :  Returns : void} testCreateComponentWithMessageFormatInValueAttribute{ Params :  Returns : void} testCreateComponentWithoutFormat{ Params :  Returns : void} testCreateComponentWithMessageFormatInHrefAttribute{ Params :  Returns : void} createComponentForElement{ Params : String,Element,ValueHolder[] Returns : Component} getDocumentAdapter{ Params :  Returns : DocumentAdapter} setDocument{ Params : org.w3c.dom.Document Returns : void} removeNotify{ Params :  Returns : void} addNotify{ Params :  Returns : void} getDocument{ Params :  Returns : org.w3c.dom.Document} main{ Params : String[] Returns : void} ,,main ,,,,DocumentAdapter ,,DocumentAdapter ,DOM_1_20000929_DocumentAdapter 
MapperXML,com.taursys.model,AbstractCollectionValueHolder,1,1,0,0,0,false,0 ,CollectionValueHolder ChangeListener ,0 ,collection: Collection iterator: Iterator parentValueHolder: ValueHolder parentPropertyName: String objectValueHolder: com.taursys.model.ObjectValueHolder ,getObjectValueHolder{ Params :  Returns : ObjectValueHolder} getPropertyValue{ Params : String Returns : Object} getPropertyValues{ Params : String[] Returns : Object[]} setPropertyValue{ Params : String,Object Returns : void} setPropertyValues{ Params : String[],Object[] Returns : void} getJavaDataType{ Params : String Returns : int} getAlias{ Params :  Returns : String} setAlias{ Params : String Returns : void} removeChangeListener{ Params : ChangeListener Returns : void} addChangeListener{ Params : ChangeListener Returns : void} getObject{ Params :  Returns : Object} setObject{ Params : Object Returns : void} setParentValueHolder{ Params : ValueHolder Returns : void} getParentValueHolder{ Params :  Returns : ValueHolder} setParentPropertyName{ Params : String Returns : void} getParentPropertyName{ Params :  Returns : String} stateChanged{ Params : ChangeEvent Returns : void} hasNext{ Params :  Returns : boolean} next{ Params :  Returns : void} reset{ Params :  Returns : void} getInternalIterator{ Params :  Returns : Iterator} getCollection{ Params :  Returns : Collection} setCollection{ Params : Collection Returns : void} size{ Params :  Returns : int} isEmpty{ Params :  Returns : boolean} contains{ Params : Object Returns : boolean} iterator{ Params :  Returns : Iterator} toArray{ Params :  Returns : Object[]} toArray{ Params : Object[] Returns : Object[]} add{ Params : Object Returns : boolean} remove{ Params : Object Returns : boolean} containsAll{ Params : Collection Returns : boolean} addAll{ Params : Collection Returns : boolean} removeAll{ Params : Collection Returns : boolean} retainAll{ Params : Collection Returns : boolean} clear{ Params :  Returns : void} ,,,,,CollectionValueHolder ChangeListener ,com.taursys.model.ObjectValueHolder ,,com.taursys.model.ObjectValueHolder ,ArrayList 
MapperXML,com.taursys.model,AbstractListValueHolder,1,1,0,0,0,false,AbstractCollectionValueHolder ,ListValueHolder ,0 ,position: int listSelectionListeners: Vector ignoreReset: boolean comparator: Comparator ,hasNext{ Params :  Returns : boolean} hasPrior{ Params :  Returns : boolean} hasAny{ Params :  Returns : boolean} getPosition{ Params :  Returns : int} getRowCount{ Params :  Returns : int} moveTo{ Params : int Returns : void} first{ Params :  Returns : void} next{ Params :  Returns : void} prior{ Params :  Returns : void} last{ Params :  Returns : void} reset{ Params :  Returns : void} indexOf{ Params : String[],Object[] Returns : int} isMatchAll{ Params : Object[],Object[] Returns : boolean} isMatch{ Params : Object,Object Returns : boolean} getPropertyValues{ Params : String[],int Returns : Object[]} getPropertyValue{ Params : String,int Returns : Object} setPropertyValues{ Params : String[],Object[],int Returns : void} setObject{ Params : Object Returns : void} setCollection{ Params : Collection Returns : void} setList{ Params : java.util.List Returns : void} getList{ Params :  Returns : java.util.List} setComparator{ Params : Comparator Returns : void} getComparator{ Params :  Returns : Comparator} sort{ Params :  Returns : void} listContentsPositionChange{ Params :  Returns : void} removeListSelectionListener{ Params : ListSelectionListener Returns : void} addListSelectionListener{ Params : ListSelectionListener Returns : void} fireValueChanged{ Params :  Returns : void} fireValueChanged{ Params : ListSelectionEvent Returns : void} reposition{ Params :  Returns : void} reposition{ Params : Object Returns : void} remove{ Params :  Returns : Object} remove{ Params : int Returns : Object} remove{ Params : Object Returns : boolean} removeAll{ Params : Collection Returns : boolean} retainAll{ Params : Collection Returns : boolean} clear{ Params :  Returns : void} add{ Params : Object Returns : boolean} add{ Params : int,Object Returns : void} addAll{ Params : Collection Returns : boolean} addAll{ Params : int,Collection Returns : boolean} set{ Params : int,Object Returns : Object} get{ Params : int Returns : Object} indexOf{ Params : Object Returns : int} lastIndexOf{ Params : Object Returns : int} listIterator{ Params :  Returns : ListIterator} listIterator{ Params : int Returns : ListIterator} subList{ Params : int,int Returns : List} ,,,,,ListValueHolder ,Comparator ,,Comparator ,ModelException ListContentChangeEvent ListSelectionEvent Vector ListSelectionEvent ListContentChangeEvent ListSelectionEvent 
MapperXML,com.taursys.model,AbstractValueHolder,1,1,1,0,0,false,0 ,ValueHolder ,0 ,alias: String changeListeners: Vector multiplePropertiesChanging: boolean ,getJavaDataType{ Params : String Returns : int} getPropertyValue{ Params : String Returns : Object} getPropertyValues{ Params : String[] Returns : Object[]} setPropertyValue{ Params : String,Object Returns : void} setPropertyValues{ Params : String[],Object[] Returns : void} checkArrays{ Params : String[],Object[] Returns : void} setAlias{ Params : String Returns : void} getAlias{ Params :  Returns : String} setMultiplePropertiesChanging{ Params : boolean Returns : void} isMultiplePropertiesChanging{ Params :  Returns : boolean} removeChangeListener{ Params : ChangeListener Returns : void} addChangeListener{ Params : ChangeListener Returns : void} fireStateChanged{ Params : ChangeEvent Returns : void} ,,,,getJavaDataType getPropertyValue setPropertyValue ,ValueHolder ,boolean ,,boolean ,ContentValueChangeEvent ModelException Vector 
MapperXML,com.taursys.model,BoundValueObject,2,1,0,0,0,true,0 ,ValueHolder ,0 ,,removePropertyChangeListener{ Params : PropertyChangeListener Returns : void} addPropertyChangeListener{ Params : PropertyChangeListener Returns : void} ,,,,,,,,,
MapperXML,com.taursys.model,CheckboxModel,2,1,0,0,0,true,0 ,ValueHolder ,0 ,,getText{ Params :  Returns : String} setText{ Params : String Returns : void} setSelected{ Params : boolean Returns : void} isSelected{ Params :  Returns : boolean} setSelectedValue{ Params : String Returns : void} getSelectedValue{ Params :  Returns : String} setUnselectedValue{ Params : String Returns : void} getUnselectedValue{ Params :  Returns : String} ,,,,,,,,,
MapperXML,com.taursys.model,CollectionValueHolder,2,1,0,0,0,true,0 ,ValueHolder ,0 ,,hasNext{ Params :  Returns : boolean} next{ Params :  Returns : void} reset{ Params :  Returns : void} getObject{ Params :  Returns : Object} setObject{ Params : Object Returns : void} size{ Params :  Returns : int} isEmpty{ Params :  Returns : boolean} contains{ Params : Object Returns : boolean} iterator{ Params :  Returns : Iterator} toArray{ Params :  Returns : Object[]} toArray{ Params : Object[] Returns : Object[]} add{ Params : Object Returns : boolean} remove{ Params : Object Returns : boolean} containsAll{ Params : Collection Returns : boolean} addAll{ Params : Collection Returns : boolean} removeAll{ Params : Collection Returns : boolean} retainAll{ Params : Collection Returns : boolean} clear{ Params :  Returns : void} equals{ Params : Object Returns : boolean} hashCode{ Params :  Returns : int} ,,,,,,,,,
MapperXML,com.taursys.model,DefaultCheckboxModel,1,1,0,0,0,false,DefaultTextModel ,CheckboxModel ,0 ,selectedValue: String unselectedValue: String ,getText{ Params :  Returns : String} setText{ Params : String Returns : void} setSelected{ Params : boolean Returns : void} isSelected{ Params :  Returns : boolean} setSelectedValue{ Params : String Returns : void} getSelectedValue{ Params :  Returns : String} setUnselectedValue{ Params : String Returns : void} getUnselectedValue{ Params :  Returns : String} ,,,,,CheckboxModel ,String ,,String ,UnknownStateValueException UnknownStateValueException UnknownStateValueException 
MapperXML,com.taursys.model,DefaultSelectModel,1,1,0,0,0,false,DefaultTextModel ,SelectModel ,0 ,list: com.taursys.model.CollectionValueHolder displayPropertyName: String listPropertyNames: String propertyNames: String nullDisplay: String nullAllowed: boolean ,createDefaultList{ Params :  Returns : CollectionValueHolder} getText{ Params :  Returns : String} setText{ Params : String Returns : void} getSelectedItem{ Params :  Returns : Object} setSelectedItem{ Params : Object Returns : void} getDisplayOptionList{ Params :  Returns : Collection} positionListToCurrentSelection{ Params :  Returns : boolean} getCurrentDisplayValue{ Params :  Returns : String} getCurrentPropertyValues{ Params :  Returns : String} isCurrentMatch{ Params :  Returns : boolean} isValueNull{ Params :  Returns : boolean} validateProperties{ Params :  Returns : void} copyValues{ Params :  Returns : void} setNullValues{ Params :  Returns : void} createDefaultValueHolder{ Params :  Returns : ValueHolder} setList{ Params : com.taursys.model.CollectionValueHolder Returns : void} getList{ Params :  Returns : com.taursys.model.CollectionValueHolder} setDisplayPropertyName{ Params : String Returns : void} getDisplayPropertyName{ Params :  Returns : String} setListPropertyNames{ Params : String[] Returns : void} getListPropertyNames{ Params :  Returns : String[]} setPropertyNames{ Params : String[] Returns : void} getPropertyNames{ Params :  Returns : String[]} setPropertyName{ Params : String Returns : void} getPropertyName{ Params :  Returns : String} setNullAllowed{ Params : boolean Returns : void} isNullAllowed{ Params :  Returns : boolean} setNullDisplay{ Params : String Returns : void} getNullDisplay{ Params :  Returns : String} ,,,,,SelectModel ,boolean ,,boolean ,ObjectArrayValueHolder NotInListException NotInListException NotInListException ArrayList SelectModelOption SelectModelOption SelectModelOption NotInListException SelectModelException ObjectValueHolder 
MapperXML,com.taursys.model,DefaultTextModel,1,1,0,0,0,false,0 ,TextModel ChangeListener ,0 ,valueHolder: com.taursys.model.ValueHolder propertyName: String format: java.text.Format formatPattern: String changeListeners: Vector ,createDefaultValueHolder{ Params :  Returns : ValueHolder} getText{ Params :  Returns : String} setText{ Params : String Returns : void} setupFormat{ Params :  Returns : void} setValueHolder{ Params : com.taursys.model.ValueHolder Returns : void} getValueHolder{ Params :  Returns : com.taursys.model.ValueHolder} setPropertyName{ Params : String Returns : void} getPropertyName{ Params :  Returns : String} setFormat{ Params : java.text.Format Returns : void} getFormat{ Params :  Returns : java.text.Format} setFormatPattern{ Params : String Returns : void} getFormatPattern{ Params :  Returns : String} stateChanged{ Params : ChangeEvent Returns : void} removeChangeListener{ Params : ChangeListener Returns : void} addChangeListener{ Params : ChangeListener Returns : void} fireStateChanged{ Params : ChangeEvent Returns : void} ,,,,,TextModel ChangeListener ,Vector ,,Vector ,VariantValueHolder VariantValueHolder ModelParseException ModelParseException ModelException Vector 
MapperXML,com.taursys.model.event,ContentChangeEvent,1,1,0,0,0,false,ChangeEvent ,0 ,0 ,contentNull: boolean ,isContentNull{ Params :  Returns : boolean} ,,,,,,boolean ,,boolean ,
MapperXML,com.taursys.model.event,ContentValueChangeEvent,1,1,0,0,0,false,ContentChangeEvent ,0 ,0 ,propertyName: String oldValue: Object newValue: Object ,getPropertyName{ Params :  Returns : String} getOldValue{ Params :  Returns : Object} getNewValue{ Params :  Returns : Object} ,,,,,,Object ,,Object ,
MapperXML,com.taursys.model.event,ListContentChangeEvent,1,1,0,0,0,false,ContentChangeEvent ,0 ,0 ,,,,,,,,,,,
MapperXML,com.taursys.model.event,StructureChangeEvent,1,1,0,0,0,false,javax.swing.event.ChangeEvent ,0 ,0 ,,,,,,,,,,,
MapperXML,com.taursys.model,ListValueHolder,2,1,0,0,0,true,javax.swing.event.ChangeEvent ,0 ,0 ,,getPropertyValue{ Params : String,int Returns : Object} getPropertyValues{ Params : String[],int Returns : Object[]} indexOf{ Params : String[],Object[] Returns : int} hasPrior{ Params :  Returns : boolean} hasAny{ Params :  Returns : boolean} moveTo{ Params : int Returns : void} getPosition{ Params :  Returns : int} getRowCount{ Params :  Returns : int} first{ Params :  Returns : void} prior{ Params :  Returns : void} last{ Params :  Returns : void} removeListSelectionListener{ Params : ListSelectionListener Returns : void} addListSelectionListener{ Params : ListSelectionListener Returns : void} ,,,,,,,,,
